document_id,document_source,document_url,category,umls_cui,umls_semantic_types,umls_semantic_group,synonyms,question_id,question_focus,question_type,question,answer
0000700,GARD,https://rarediseases.info.nih.gov/gard/182/best-vitelliform-macular-dystrophy,,C0339510,T047,Disorders,"Best disease|Best macular dystrophy|Macular degeneration, polymorphic vitelline|Vitelliform macular dystrophy type 2|VMD2",0000700-2,Best vitelliform macular dystrophy,symptoms,What are the symptoms of Best vitelliform macular dystrophy ?,"What are the signs and symptoms of Best vitelliform macular dystrophy? The Human Phenotype Ontology provides the following list of signs and symptoms for Best vitelliform macular dystrophy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the macula 90% Visual impairment 90% Abnormality of color vision 50% Choroideremia 7.5% Visual field defect 7.5% Abnormal electroretinogram - Autosomal dominant inheritance - Cystoid macular degeneration - Macular dystrophy - Reduced visual acuity - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
0000183,GARD,https://rarediseases.info.nih.gov/gard/4203/agenesis-of-the-dorsal-pancreas,,C1868659,T047,Disorders,"Pancreas, dorsal, agenesis of|Pancreas agenesis, dorsal|Complete agenesis of the dorsal pancreas|Partial agenesis of the dorsal pancreas|Congenital short pancreas",0000183-2,Agenesis of the dorsal pancreas,symptoms,What are the symptoms of Agenesis of the dorsal pancreas ?,"What are the signs and symptoms of Agenesis of the dorsal pancreas? The Human Phenotype Ontology provides the following list of signs and symptoms for Agenesis of the dorsal pancreas. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the pancreas 90% Intrauterine growth retardation 90% Maternal diabetes 90% Type I diabetes mellitus 90% Autosomal dominant inheritance - Diabetes mellitus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
0004295,GARD,https://rarediseases.info.nih.gov/gard/10633/myxopapillary-ependymoma,,C0205769,T191,Disorders,,0004295-1,Myxopapillary ependymoma,information,What is (are) Myxopapillary ependymoma ?,"Myxopapillary ependymoma (MEPN) is a slow-growing ependymoma (a type of glioma, which is a tumor that arises from the supportive tissue of the brain). They tend to occur in the lower part of the spinal column and are usually considered to be benign, low-grade or grade I tumors. The age of diagnosis ranges from 6 to 82 years. Symptoms of an ependymoma are related to the location and size of the tumor and may include nausea, vomiting, headache, pain, numbness, bowel or bladder symptoms, and various other signs and symptoms. The cause of ependymomas is unknown. They are known to recur locally (more commonly in individuals diagnosed in childhood). Treatment may vary depending on the location, grade, and whether the tumor has spread to the spine, but typically includes aggressive surgery. Management may also include chemotherapy and radiation therapy."
0000103,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/digestive-diseases/gastritis/Pages/facts.aspx,,C0017152,T047,Disorders,,0000103-3,Gastritis,symptoms,What are the symptoms of Gastritis ?,"Some people who have gastritis have pain or discomfort in the upper part of the abdomenthe area between the chest and hips. However, many people with gastritis do not have any signs and symptoms. The relationship between gastritis and a person's symptoms is not clear. The term gastritis is sometimes mistakenly used to describe any symptoms of pain or discomfort in the upper abdomen.
                
When symptoms are present, they may include
                
- upper abdominal discomfort or pain  - nausea  - vomiting
                

                
Seek Help for Symptoms of Bleeding in the Stomach   Erosive gastritis may cause ulcers or erosions in the stomach lining that can bleed. Signs and symptoms of bleeding in the stomach include   - shortness of breath   - dizziness or feeling faint   - red blood in vomit   - black, tarry stools   - red blood in the stool   - weakness   - paleness    A person with any signs or symptoms of bleeding in the stomach should call or see a health care provider right away.   More information is provided in the NIDDK health topic, Bleeding in the Digestive Tract."
0000723,GHR,https://ghr.nlm.nih.gov/condition/neuroferritinopathy,,C1853578,T047,Disorders,"basal ganglia disease, adult-onset|ferritin-related neurodegeneration|hereditary ferritinopathy|NBIA3|neurodegeneration with brain iron accumulation 3",0000723-1,neuroferritinopathy,information,What is (are) neuroferritinopathy ?,"Neuroferritinopathy is a disorder in which iron gradually accumulates in the brain. Certain brain regions that help control movement (basal ganglia) are particularly affected. People with neuroferritinopathy have progressive problems with movement that begin at about age 40. These movement problems can include involuntary jerking motions (chorea), rhythmic shaking (tremor), difficulty coordinating movements (ataxia), or uncontrolled tensing of muscles (dystonia). Symptoms of the disorder may be more apparent on one side of the body than on the other. Affected individuals may also have difficulty swallowing (dysphagia) and speaking (dysarthria).  Intelligence is unaffected in most people with neuroferritinopathy, but some individuals develop a gradual decline in thinking and reasoning abilities (dementia). Personality changes such as reduced inhibitions and difficulty controlling emotions may also occur as the disorder progresses."
0000453,GHR,https://ghr.nlm.nih.gov/condition/hepatic-veno-occlusive-disease-with-immunodeficiency,,C1856128|C0012634,T047,Disorders,familial veno-occlusive disease with immunodeficiency|hepatic venoocclusive disease with immunodeficiency|veno-occlusive disease and immunodeficiency syndrome|VODI,0000453-5,hepatic veno-occlusive disease with immunodeficiency,treatment,What are the treatments for hepatic veno-occlusive disease with immunodeficiency ?,These resources address the diagnosis or management of VODI:  - Gene Review: Gene Review: Hepatic Veno-Occlusive Disease with Immunodeficiency  - Genetic Testing Registry: Hepatic venoocclusive disease with immunodeficiency   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
0000838,GARD,https://rarediseases.info.nih.gov/gard/3212/branchiooculofacial-syndrome,,C0376524,T019|T047,Disorders,BOFS syndrome|Branchial clefts with characteristic facies growth retardation imperforate nasolacrimal duct and premature aging|Hemangiomatous branchial clefts-lip pseudocleft syndrome|Lip pseudocleft-hemangiomatous branchial cyst syndrome,0000838-4,Branchiooculofacial syndrome,exams and tests,How to diagnose Branchiooculofacial syndrome ?,"How is branchiooculofacial syndrome (BOFS) diagnosed? BOFS can be diagnosed clinically based on the characteristic features of this condition. Genetic testing can also confirm the diagnosis. GeneTests lists the names of laboratories that are performing genetic testing for branchiooculofacial syndrome. To view the contact information for the clinical laboratories conducting testing, click here. To access the contact information for the research laboratories performing genetic testing, click here. Please note: Most of the laboratories listed through GeneTests do not accept direct contact from patients and their families; therefore, if you are interested in learning more, you will need to work with a health care provider or a genetics professional."
0000020_1,CancerGov,https://www.cancer.gov/types/gallbladder/patient/gallbladder-treatment-pdq,,C0153452|C0235782,T191,Disorders,,0000020_1-5,Gallbladder Cancer,outlook,What is the outlook for Gallbladder Cancer ?,"Certain factors affect the prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on the following:          - The stage of the cancer (whether the cancer has spread from the gallbladder to other places in the body).    - Whether the cancer can be completely removed by surgery.    - The type of gallbladder cancer (how the cancer cell looks under a microscope).    - Whether the cancer has just been diagnosed or has recurred (come back).        Treatment may also depend on the age and general health of the patient and whether the cancer is causing signs or symptoms.   Gallbladder cancer can be cured only if it is found before it has spread, when it can be removed by surgery. If the cancer has spread, palliative treatment can improve the patient's quality of life by controlling the symptoms and complications of this disease.   Taking part in one of the clinical trials being done to improve treatment should be considered. Information about ongoing clinical trials is available from the NCI website."
0003986,GARD,https://rarediseases.info.nih.gov/gard/3577/methylcobalamin-deficiency-cbl-g-type,,C3844614,T033,Disorders,"Homocystinuria-megaloblastic anemia, cblG complementation type|cblG|Methionine synthase deficiency",0003986-1,Methylcobalamin deficiency cbl G type,information,What is (are) Methylcobalamin deficiency cbl G type ?,"Methylcobalamin deficiency cbl G type is a rare condition that occurs when the body is unable to process certain amino acids (building blocks of protein) properly. In most cases, signs and symptoms develop during the first year of life; however, the age of onset can range from infancy to adulthood. Common features of the condition include feeding difficulties, lethargy, seizures, poor muscle tone (hypotonia), developmental delay, microcephaly (unusually small head size), and megaloblastic anemia. Methylcobalamin deficiency cbl G type is caused by changes (mutations) in the MTR gene and is inherited in an autosomal recessive manner. Treatment generally includes regular doses of hydroxycobalamin (vitamin B12). Some affected people may also require supplementation with folates and betaine."
0000986,GARD,https://rarediseases.info.nih.gov/gard/9858/catamenial-pneumothorax,,C0340007,T047,Disorders,,0000986-2,Catamenial pneumothorax,symptoms,What are the symptoms of Catamenial pneumothorax ?,"What are the signs and symptoms of Catamenial pneumothorax? The Human Phenotype Ontology provides the following list of signs and symptoms for Catamenial pneumothorax. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Decreased fertility - Dysmenorrhea - Endometriosis - Multifactorial inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
0000948,GHR,https://ghr.nlm.nih.gov/condition/spondyloperipheral-dysplasia,,C0796173,T019|T047,Disorders,SPD|spondyloperipheral dysplasia with short ulna,0000948-1,spondyloperipheral dysplasia,information,What is (are) spondyloperipheral dysplasia ?,"Spondyloperipheral dysplasia is a disorder that impairs bone growth. This condition is characterized by flattened bones of the spine (platyspondyly) and unusually short fingers and toes (brachydactyly), with the exception of the first (big) toes. Other skeletal abnormalities associated with spondyloperipheral dysplasia include short stature, shortened long bones of the arms and legs, exaggerated curvature of the lower back (lordosis), and an inward- and upward-turning foot (clubfoot). Additionally, some affected individuals have nearsightedness (myopia), hearing loss, and intellectual disability."
0006070,GARD,https://rarediseases.info.nih.gov/gard/5181/thoraco-abdominal-enteric-duplication,,C0345268,T019,Disorders,,0006070-1,Thoraco abdominal enteric duplication,symptoms,What are the symptoms of Thoraco abdominal enteric duplication ?,"What are the signs and symptoms of Thoraco abdominal enteric duplication? The Human Phenotype Ontology provides the following list of signs and symptoms for Thoraco abdominal enteric duplication. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal dermatoglyphics 90% Abnormality of the ribs 90% Abnormality of the tricuspid valve 90% Asymmetric growth 90% Camptodactyly of finger 90% Diastomatomyelia 90% Duodenal stenosis 90% Hepatomegaly 90% Intestinal malrotation 90% Meningocele 90% Respiratory insufficiency 90% Situs inversus totalis 90% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
0003376,GARD,https://rarediseases.info.nih.gov/gard/6829/keratosis-follicularis-spinulosa-decalvans,,C0343057,T019,Disorders,KFSD|Keratosis follicularis spinulosa decalvans cum ophiasi,0003376-2,Keratosis follicularis spinulosa decalvans,symptoms,What are the symptoms of Keratosis follicularis spinulosa decalvans ?,"What are the signs and symptoms of Keratosis follicularis spinulosa decalvans? The Human Phenotype Ontology provides the following list of signs and symptoms for Keratosis follicularis spinulosa decalvans. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Alopecia 90% Aplasia/Hypoplasia of the eyebrow 90% Hyperkeratosis 90% Ichthyosis 90% Abnormality of the fingernails 50% Blepharitis 50% Myopia 50% Opacification of the corneal stroma 50% Retinal detachment 50% Abnormality of dental color 7.5% Abnormality of dental enamel 7.5% Carious teeth 7.5% Eczema 7.5% Conjunctivitis - Corneal dystrophy - Dry skin - Dystrophic fingernails - Ectropion - Facial erythema - Follicular hyperkeratosis - Heterogeneous - Keratitis - Nail dysplasia - Palmoplantar keratoderma - Perifollicular fibrosis - Photophobia - Scarring alopecia of scalp - Sparse eyebrow - Sparse eyelashes - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
0000076,MPlusHealthTopics,https://www.nlm.nih.gov/medlineplus/babyhealthcheckup.html,Other,,,,,0000076-1,Baby Health Checkup,information,Do you have information about Baby Health Checkup,"Summary : There are many new responsibilities when you have a baby. One of them is to make sure they get the checkups that they need. Well-baby exams are important in making sure that your baby is growing and developing properly. If there are problems, you can catch them early. This means that there is a better chance for treatment.    During these checkups, your baby will get any needed immunizations and screenings. This is also a good chance to ask your health care provider any questions about how to care for your baby."
0000206,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/urologic-disease/perineal-injury-in-males/Pages/facts.aspx,,C3544174,T037,Disorders,,0000206-8,Perineal Injury in Males,treatment,What are the treatments for Perineal Injury in Males ?,"Treatments for perineal injury vary with the severity and type of injury. Tears or incisions may require stitches. Traumatic or piercing injuries may require surgery to repair damaged pelvic floor muscles, blood vessels, and nerves. Treatment for these acute injuries may also include antibiotics to prevent infection. After a health care provider stabilizes an acute injury so blood loss is no longer a concern, a person may still face some long-term effects of the injury, such as bladder control and sexual function problems. A health care provider can treat high-flow priapism caused by a blunt injury to the perineum with medication, blockage of the burst blood vessel under x-ray guidance, or surgery.
                
In people with a chronic perineal injury, a health care provider will treat the complications of the condition. More information is provided in the NIDDK health topics:
                
- Erectile Dysfunction  - Urinary Incontinence in Men
                
More information about the lower urinary tract is provided in the NIDDK health topic, The Urinary Tract and How It Works."
0000031,GHR,https://ghr.nlm.nih.gov/condition/alexander-disease,,C0270726,T047,Disorders,Alexander's disease|ALX|AxD|demyelinogenic leukodystrophy|dysmyelinogenic leukodystrophy|fibrinoid degeneration of astrocytes|leukodystrophy with Rosenthal fibers,0000031-4,Alexander disease,inheritance,Is Alexander disease inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.  Most cases result from new mutations in the gene. These cases occur in people with no history of the disorder in their family. Rarely, an affected person inherits the mutation from one affected parent."
0000217,NINDS,http://www.ninds.nih.gov/disorders/neurotoxicity/neurotoxicity.htm,,C0235032,T037,Disorders,,0000217-4,Neurotoxicity,research,what research (or clinical trials) is being done for Neurotoxicity ?,"The NINDS supports research on disorders of the brain and nervous system such as neurotoxicity, aimed at learning more about these disorders and finding ways to prevent and treat them. Scientists are investigating the role occupational or environmental toxicants have on progressive neurodegenerative disorders such as Parkinson's disease, amyotrophic lateral sclerosis, multiple sclerosis, and dementia. Also being studied are the mechanisms that trigger neuroimmune responses in the central nervous system and the possibility that some brain disorders in children may occur when environmental triggers interact with genes."
0004185,GARD,https://rarediseases.info.nih.gov/gard/3829/multiple-endocrine-neoplasia-type-1,,C0025267|C0014132,T191,Disorders,Endocrine adenomatosis multiple|MEN 1|Wermer syndrome,0004185-5,Multiple endocrine neoplasia type 1,exams and tests,How to diagnose Multiple endocrine neoplasia type 1 ?,"Is genetic testing available for multiple endocrine neoplasia, type 1? Yes, genetic testing is available for MEN1, the gene known to cause multiple endocrine neoplasia, type 1 (MEN1). Carrier testing for at-risk relatives and prenatal testing are possible if the disease-causing mutation in the family is known. The Genetic Testing Registry (GTR) is a centralized online resource for information about genetic tests. The intended audience for the GTR is health care providers and researchers. Patients and consumers with specific questions about a genetic test should contact a health care provider or a genetics professional. How is multiple endocrine neoplasia, type 1 diagnosed? A diagnosis of multiple endocrine neoplasia, type 1 (MEN1) is based on the presence of two of the following endocrine tumors: parathyroid tumors; pituitary tumors; and/or stomach, bowel or pancreas (also called the gastro-entero-pancreatic, or GEP tract) tumors. People with only one of the tumors may also receive a diagnosis of MEN1 if they have other family members with the condition. Identification of a change (mutation) in the MEN1 gene can be used to confirm the diagnosis. In addition to a complete physical exam and medical history, laboratory tests that evaluate the levels of certain hormones in the blood or urine are often used detect the different types of tumors found in MEN1. Imaging studies such as computed tomography (CT scan), magnetic resonance imaging (MRI scan), and/or endoscopic ultrasound may be recommended to confirm the location and size of the tumors. Some people may also need a biopsy of the tumor to confirm the diagnosis."
0000036,NIHSeniorHealth,http://nihseniorhealth.gov/highbloodpressure/toc.html,,C0020538,T047,Disorders,,0000036-1,High Blood Pressure,information,What is (are) High Blood Pressure ?,"High blood pressure is a common disease in which blood flows through blood vessels (arteries) at higher than normal pressures. What Is Blood Pressure? Blood pressure is the force of blood pushing against the walls of the blood vessels as the heart pumps blood. If your blood pressure rises and stays high over time, its called high blood pressure. High blood pressure is dangerous because it makes the heart work too hard, and the high force of the blood flow can harm arteries and organs such as the heart, kidneys, brain, and eyes. Types of High Blood Pressure There are two main types of high blood pressure: primary and secondary high blood pressure. - Primary, or essential, high blood pressure is the most common type of high blood pressure. This type of high blood pressure tends to develop over years as a person ages.   - Secondary high blood pressure is caused by another medical condition or use of certain medicines. This type usually resolves after the cause is treated or removed. Primary, or essential, high blood pressure is the most common type of high blood pressure. This type of high blood pressure tends to develop over years as a person ages. Secondary high blood pressure is caused by another medical condition or use of certain medicines. This type usually resolves after the cause is treated or removed. Measuring Blood Pressure Blood pressure is always given as two numbers, the systolic and diastolic pressures. Both are important. - Systolic Pressure  is the pressure of blood against the artery walls when the heart beats.  -  Diastolic Pressure is the pressure of blood against the artery walls when the heart is at rest between beats. Systolic Pressure  is the pressure of blood against the artery walls when the heart beats.  Diastolic Pressure is the pressure of blood against the artery walls when the heart is at rest between beats. Usually these numbers are written one above or before the other -- for example, 120/80 mmHg. The top, or first, number is the systolic and the bottom, or second number, is the diastolic. If your blood pressure is 120/80, you say that it is ""120 over 80."" Normal Blood Pressure Normal blood pressure for adults is defined as a systolic pressure below 120 mmHg and a diastolic pressure below 80 mmHg. It is normal for blood pressures to change when you sleep, wake up, or are excited or nervous. When you are active, it is normal for your blood pressure to increase. However, once the activity stops, your blood pressure returns to your normal baseline range. Blood pressure normally rises with age and body size. Newborn babies often have very low blood pressure numbers that are considered normal for babies, while older teens have numbers similar to adults. Abnormal Blood Pressure Abnormal blood pressure is higher than 120/80 mmHg. If either your systolic or diastolic blood pressure is higher than normal (120/80) but not high enough to be considered high blood pressure (140/90), you have pre-hypertension. Pre-hypertension is a top number between 120 and 139 or a bottom number between 80 and 89 mmHg. For example, blood pressure readings of 138/82, 128/70, or 115/86 are all in the ""pre-hypertension"" range. (Click the table on the right to see the stages of high blood pressure in adults.) A systolic blood pressure of 140 mmHg or higher, or a diastolic blood pressure of 90 mmHg or higher, is considered high blood pressure, or hypertension. Hypertension is the medical term for high blood pressure. If you have diabetes or chronic kidney disease, your recommended blood pressure levels are a systolic blood pressure of 130 mmHg or lower, and a diastolic blood pressure of 80 mmHg or lower. Usually Has No Symptoms High blood pressure is often called ""the silent killer"" because it usually has no symptoms. Occasionally, headaches may occur. Some people may not find out they have high blood pressure until they have trouble with their heart, kidneys, or eyes. When high blood pressure is not diagnosed and treated, it can lead to other life-threatening conditions, including heart attack, heart failure, stroke, and kidney failure. It can also lead to vision changes or blindness. Possible Complications Over Time Over time, high blood pressure can cause - your heart to work too hard and become larger or weaker, which can lead to heart failure.   - small bulges (aneurysms) to worsen in your blood vessels. Common locations for aneurysms are the aorta, which is the main artery from the heart; the arteries in your brain, legs, and intestines; and the artery leading to your spleen.  - blood vessels in your kidneys to narrow, which can cause kidney failure.  - blood vessels in your eyes to burst or bleed, which can cause vision changes and can result in blindness.   - arteries throughout your body to ""harden"" faster, especially those in your heart, brain, kidneys, and legs. This can cause a heart attack, stroke, or kidney failure. your heart to work too hard and become larger or weaker, which can lead to heart failure. small bulges (aneurysms) to worsen in your blood vessels. Common locations for aneurysms are the aorta, which is the main artery from the heart; the arteries in your brain, legs, and intestines; and the artery leading to your spleen. blood vessels in your kidneys to narrow, which can cause kidney failure. blood vessels in your eyes to burst or bleed, which can cause vision changes and can result in blindness. arteries throughout your body to ""harden"" faster, especially those in your heart, brain, kidneys, and legs. This can cause a heart attack, stroke, or kidney failure."
0000042,GARD,https://rarediseases.info.nih.gov/gard/2882/achondrogenesis,,C0001079,T019,Disorders,Achondrogenesis type 1A|Achondrogenesis type 1B|Achondrogenesis type 2,0000042-1,Achondrogenesis,information,What is (are) Achondrogenesis ?,"Achondrogenesis is a group of severe disorders that are present from birth and affect the development of cartilage and bone. Infants with achondrogenesis usually have a small body, short arms and legs, and other skeletal abnormalities that cause life-threatening complications.  There are at least three forms of achondrogenesis, type 1A, type 1B and type 2, which are distinguished by signs and symptoms, pattern of inheritance, and the results of imaging studies such as x-rays (radiology), tissue analysis (histology), and genetic testing.  Type 1A and 1B achondrogenesis are both inherited in an autosomal recessive pattern.  Type 1B may be caused by mutations in the SLC26A2 gene.  Type 2 achondrogenesis is inherited in an autosomal dominant pattern and is caused by new (de novo) mutations in the COL2A1 gene."
